transaction_id,date,department,category,description,transaction_type,amount,currency,status
TXN-958693,2024-04-23,Legal,Maintenance,Maintenance related to Legal,Expense,31883.16,USD,Completed
TXN-615391,2025-02-13,R&D,Professional Services,Professional Services related to R&D,Expense,47103.37,USD,Completed
TXN-378060,2024-04-15,Finance,Other Revenue,Other Revenue related to Finance,Revenue,15201.14,USD,Completed
TXN-982389,2023-06-24,Administration,Product Sales,Product Sales related to Administration,Revenue,44648.04,USD,Completed
TXN-500147,23/06/2023,Procurement,Software,Software related to Procurement,Expense,20666.51,USD,Completed
TXN-102957,2025-02-09,Marketing,Product Sales,Product Sales related to Marketing,Revenue,91454.19,EUR,Completed
TXN-974531,14/01/2024,Logistics,Marketing,Marketing related to Logistics,Expense,6824.60,USD,Completed
TXN-971266,2023-08-19,Finance,Logistics,Logistics related to Finance,Expense,46482.62,USD,Completed
TXN-180959,2023-05-12,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,48508.65,EUR,Completed
TXN-108270,2025-09-29,Logistics,Travel,Travel related to Logistics,Expense,42609.85,USD,Completed
TXN-732237,2024-05-16,Finance,Subscription Revenue,Subscription Revenue related to Finance,Revenue,32632.37,USD,Completed
TXN-555661,2024-01-07,IT,Software,Software related to IT,Expense,3253.92,USD,Completed
TXN-930401,2025-02-04,Marketing,Subscription Revenue,Subscription Revenue related to Marketing,Revenue,92396.56,USD,Completed
TXN-651559,2024-09-12,Logistics,Subscription Revenue,Subscription Revenue related to Logistics,Revenue,123361.63,GBP,Completed
TXN-287775,2024-04-16,Administration,Product Sales,Product Sales related to Administration,Revenue,112515.84,USD,Completed
TXN-639672,2025-11-15,Legal,Other Revenue,Other Revenue related to Legal,Revenue,21612.44,USD,Completed
TXN-232790,2025-05-03,IT,Office,Office related to IT,Expense,30711.48,USD,Completed
TXN-769826,2025-07-15,Marketing,Subscription Revenue,Subscription Revenue related to Marketing,Revenue,89938.71,USD,Completed
TXN-381098,14/06/2023,Logistics,Marketing,Marketing related to Logistics,Expense,28880.04,USD,Completed
TXN-720672,2024-10-10,Procurement,Logistics,Logistics related to Procurement,Expense,"$13,439.02",USD,Completed
TXN-744878,2025-12-28,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,"$211,578.72",USD,Completed
TXN-673760,17/02/2025,Operations,Product Sales,Product Sales related to Operations,Revenue,111175.39,EUR,Completed
TXN-567741,12/06/2024,Operations,Marketing,Marketing related to Operations,Expense,33520.46,GBP,Completed
TXN-747607,2025-04-23,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,"$26,491.43",USD,Completed
TXN-958415,31/05/2023,Sales,Software,Software related to Sales,Expense,46449.00,USD,Completed
TXN-607136,2024-05-28,Customer Support,Salaries,Salaries related to Customer Support,Expense,46079.14,USD,Completed
TXN-367081,27/12/2025,R&D,Travel,Travel related to R&D,Expense,"$30,586.81",USD,Completed
TXN-485154,2025-08-17,Finance,Other Revenue,Other Revenue related to Finance,Revenue,131785.73,USD,Completed
TXN-480244,2025-11-16,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,92842.88,USD,Completed
TXN-878846,23/07/2025,Procurement,Logistics,Logistics related to Procurement,Expense,8302.41,EUR,Completed
TXN-629727,03/12/2023,Legal,Travel,Travel related to Legal,Expense,31606.54,USD,Completed
TXN-877776,2024-11-02,IT,Training,Training related to IT,Expense,48727.89,USD,Completed
TXN-854581,2024-09-01,Sales,Logistics,Logistics related to Sales,Expense,9923.69,USD,Completed
TXN-385925,26/05/2023,Legal,Travel,Travel related to Legal,Expense,24743.94,USD,Completed
TXN-868264,2023-01-25,Operations,Utilities,Utilities related to Operations,Expense,7602.81,USD,Completed
TXN-562068,28/03/2024,Logistics,Travel,Travel related to Logistics,Expense,"$34,603.81",USD,Completed
TXN-771731,09/09/2025,Sales,Consulting Revenue,Consulting Revenue related to Sales,Revenue,147772.17,USD,Completed
TXN-259708,2025-08-07,Procurement,Software,Software related to Procurement,Expense,35452.12,USD,Completed
TXN-804074,2025-03-05,Finance,Training,Training related to Finance,Expense,29434.99,USD,Completed
TXN-476389,2023-06-16,Marketing,Maintenance,Maintenance related to Marketing,Expense,2271.26,USD,Completed
TXN-639151,30/11/2025,Finance,Product Sales,Product Sales related to Finance,Revenue,85581.51,USD,Completed
TXN-388730,2024-04-27,Legal,Marketing,Marketing related to Legal,Expense,44609.55,USD,Completed
TXN-748102,2023-11-17,HR,Utilities,Utilities related to HR,Expense,32028.86,USD,Completed
TXN-127534,2023-04-25,R&D,Subscription Revenue,Subscription Revenue related to R&D,Revenue,41004.57,USD,Completed
TXN-116869,2025-09-21,HR,Marketing,Marketing related to HR,Expense,32941.92,USD,Completed
TXN-122403,2025-07-02,Administration,Salaries,Salaries related to Administration,Expense,34728.46,USD,Completed
TXN-362412,2024-02-29,Sales,Consulting Revenue,Consulting Revenue related to Sales,Revenue,"$29,182.07",USD,Completed
TXN-704827,2024-08-05,HR,Product Sales,Product Sales related to HR,Revenue,32501.09,USD,Completed
TXN-873144,20/08/2025,Finance,Procurement,Procurement related to Finance,Expense,29837.06,USD,Completed
TXN-539538,2023-06-10,Administration,Product Sales,Product Sales related to Administration,Revenue,127452.85,GBP,Completed
TXN-376599,15/01/2025,Marketing,Cloud Infrastructure,Cloud Infrastructure related to Marketing,Expense,"$19,183.80",USD,Completed
TXN-742279,2025-09-09,Administration,Subscription Revenue,Subscription Revenue related to Administration,Revenue,"$31,904.07",USD,Completed
TXN-185103,2023-04-12,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,52423.57,USD,Completed
TXN-475368,2023-08-28,HR,Software,Software related to HR,Expense,"$8,698.16",USD,Completed
TXN-493696,2024-04-30,Operations,Procurement,Procurement related to Operations,Expense,1909.83,USD,Completed
TXN-278730,2024-08-04,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,"$4,020.21",USD,Completed
TXN-555886,28/05/2023,Administration,Other Revenue,Other Revenue related to Administration,Revenue,"$55,336.47",USD,Completed
TXN-209549,2025-01-13,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,28092.23,USD,Completed
TXN-457444,2025-12-16,Administration,Consulting Revenue,Consulting Revenue related to Administration,Revenue,56830.74,USD,Completed
TXN-556607,2025-10-21,Procurement,Consulting Revenue,Consulting Revenue related to Procurement,Revenue,39059.03,USD,Completed
TXN-343532,02/06/2024,Procurement,Cloud Infrastructure,Cloud Infrastructure related to Procurement,Expense,"$31,889.41",USD,Completed
TXN-298398,2024-02-29,IT,Consulting Revenue,Consulting Revenue related to IT,Revenue,101192.77,USD,Completed
TXN-586571,2025-07-27,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,56805.57,USD,Completed
TXN-596505,12/08/2025,Logistics,Software,Software related to Logistics,Expense,43566.24,EUR,Completed
TXN-986806,2023-02-09,Customer Support,Product Sales,Product Sales related to Customer Support,Revenue,242040.73,USD,Completed
TXN-136073,2025-12-26,Marketing,Product Sales,Product Sales related to Marketing,Revenue,"$146,239.04",USD,Completed
TXN-318456,2025-05-11,Administration,Other Revenue,Other Revenue related to Administration,Revenue,126372.04,USD,Completed
TXN-844081,08/05/2025,Finance,Cloud Infrastructure,Cloud Infrastructure related to Finance,Expense,36051.77,USD,Completed
TXN-157427,02/03/2023,Sales,Marketing,Marketing related to Sales,Expense,22097.34,EUR,Completed
TXN-467039,08/08/2025,Marketing,Subscription Revenue,Subscription Revenue related to Marketing,Revenue,"$12,907.31",USD,Completed
TXN-479642,2024-12-10,Finance,Cloud Infrastructure,Cloud Infrastructure related to Finance,Expense,46773.06,GBP,Completed
TXN-972692,2025-12-10,Marketing,Professional Services,Professional Services related to Marketing,Expense,137744.86,USD,Completed
TXN-734919,2024-09-23,HR,Software,Software related to HR,Expense,4734.96,USD,Completed
TXN-147491,2024-09-11,Sales,Product Sales,Product Sales related to Sales,Revenue,130410.77,GBP,Completed
TXN-823675,2025-04-22,Finance,Service Revenue,Service Revenue related to Finance,Revenue,31131.94,GBP,Completed
TXN-363446,2025-09-17,HR,Travel,Travel related to HR,Expense,3195.49,USD,Completed
TXN-178714,2025-11-28,Finance,Marketing,Marketing related to Finance,Expense,24174.61,GBP,Completed
TXN-234900,2025-05-02,Operations,Software,Software related to Operations,Expense,145699.09,USD,Completed
TXN-544456,2024-05-02,Marketing,Logistics,Logistics related to Marketing,Expense,19741.16,EUR,Completed
TXN-968303,2025-12-21,Legal,Travel,Travel related to Legal,Expense,33980.14,USD,Completed
TXN-816071,2024-08-03,HR,Service Revenue,Service Revenue related to HR,Revenue,74354.16,EUR,Completed
TXN-923150,2025-08-28,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,112996.09,USD,Completed
TXN-483151,2024-10-28,HR,Logistics,Logistics related to HR,Expense,47235.23,USD,Completed
TXN-585082,2024-09-21,Legal,Other Revenue,Other Revenue related to Legal,Revenue,30251.23,GBP,Completed
TXN-146392,2023-03-17,Administration,Procurement,Procurement related to Administration,Expense,37637.95,USD,Completed
TXN-868372,09/08/2024,HR,Travel,Travel related to HR,Expense,42756.13,USD,Completed
TXN-650195,2024-06-24,Logistics,Maintenance,Maintenance related to Logistics,Expense,34747.45,USD,Completed
TXN-175423,2025-07-08,Administration,Consulting Revenue,Consulting Revenue related to Administration,Revenue,38530.97,USD,Completed
TXN-113388,2024-10-19,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,"$64,114.81",USD,Completed
TXN-895053,2023-05-04,Finance,Service Revenue,Service Revenue related to Finance,Revenue,91874.36,USD,Completed
TXN-524830,2023-08-21,IT,Other Revenue,Other Revenue related to IT,Revenue,136439.54,USD,Completed
TXN-842795,2023-04-26,Marketing,Utilities,Utilities related to Marketing,Expense,32260.38,USD,Completed
TXN-791124,2025-04-20,Sales,Other Revenue,Other Revenue related to Sales,Revenue,128218.94,EUR,Completed
TXN-992370,2023-09-25,Customer Support,Consulting Revenue,Consulting Revenue related to Customer Support,Revenue,"$25,376.27",USD,Completed
TXN-620905,03/01/2023,Legal,Other Revenue,Other Revenue related to Legal,Revenue,101231.48,USD,Completed
TXN-188632,2024-12-25,R&D,Subscription Revenue,Subscription Revenue related to R&D,Revenue,105825.35,USD,Completed
TXN-320555,2024-02-08,HR,Travel,Travel related to HR,Expense,33540.61,USD,Completed
TXN-185937,2025-04-23,Logistics,Service Revenue,Service Revenue related to Logistics,Revenue,144880.95,USD,Completed
TXN-826603,04/01/2025,Customer Support,Salaries,Salaries related to Customer Support,Expense,10802.68,USD,Completed
TXN-281776,2024-05-27,IT,Product Sales,Product Sales related to IT,Revenue,114168.57,USD,Completed
TXN-782893,08/02/2025,Administration,Maintenance,Maintenance related to Administration,Expense,40786.65,USD,Completed
TXN-992572,2024-09-24,Finance,Consulting Revenue,Consulting Revenue related to Finance,Revenue,113861.02,USD,Completed
TXN-522741,2024-04-26,Logistics,Cloud Infrastructure,Cloud Infrastructure related to Logistics,Expense,42483.91,USD,Completed
TXN-344167,2025-04-24,Administration,Service Revenue,Service Revenue related to Administration,Revenue,26144.11,USD,Completed
TXN-376793,2024-10-25,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,9356.67,USD,Completed
TXN-224123,06/05/2025,Finance,Maintenance,Maintenance related to Finance,Expense,4092.00,USD,Completed
TXN-897096,2024-04-06,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,89231.01,GBP,Completed
TXN-889463,2023-01-06,Customer Support,Training,Training related to Customer Support,Expense,26954.82,USD,Completed
TXN-393011,2023-08-28,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,100914.06,USD,Completed
TXN-201606,06/09/2025,HR,Service Revenue,Service Revenue related to HR,Revenue,30362.68,USD,Completed
TXN-184569,15/08/2025,Operations,Service Revenue,Service Revenue related to Operations,Revenue,107364.74,USD,Completed
TXN-530657,2024-01-10,Logistics,Travel,Travel related to Logistics,Expense,27014.33,USD,Completed
TXN-629178,2024-11-13,Marketing,Training,Training related to Marketing,Expense,6716.46,USD,Completed
TXN-299883,2025-03-12,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,25324.79,USD,Completed
TXN-847331,2023-03-09,Finance,Office,Office related to Finance,Expense,14768.31,USD,Completed
TXN-355572,11/07/2023,Procurement,Product Sales,Product Sales related to Procurement,Revenue,"$46,498.63",USD,Completed
TXN-384479,2024-07-14,Logistics,Logistics,Logistics related to Logistics,Expense,42060.05,USD,Completed
TXN-431811,06/11/2025,IT,Utilities,Utilities related to IT,Expense,44309.05,USD,Completed
TXN-689460,2023-04-30,Operations,Subscription Revenue,Subscription Revenue related to Operations,Revenue,727032.07,USD,Completed
TXN-573485,03/07/2025,Logistics,Consulting Revenue,Consulting Revenue related to Logistics,Revenue,116938.68,EUR,Completed
TXN-142571,2024-09-07,IT,Logistics,Logistics related to IT,Expense,"$42,439.47",USD,Completed
TXN-254424,2023-08-31,Legal,Travel,Travel related to Legal,Expense,45365.83,EUR,Completed
TXN-624818,2024-06-13,IT,Product Sales,Product Sales related to IT,Revenue,"$128,994.92",USD,Completed
TXN-278096,2025-03-20,IT,Subscription Revenue,Subscription Revenue related to IT,Revenue,"$30,514.45",USD,Completed
TXN-511734,2025-09-09,Logistics,Salaries,Salaries related to Logistics,Expense,10004.27,GBP,Completed
TXN-919109,2025-07-07,Legal,Subscription Revenue,Subscription Revenue related to Legal,Revenue,104882.65,GBP,Completed
TXN-338295,2024-04-16,Sales,Other Revenue,Other Revenue related to Sales,Revenue,"$133,248.23",USD,Completed
TXN-990817,2025-06-22,IT,Consulting Revenue,Consulting Revenue related to IT,Revenue,112340.69,USD,Completed
TXN-556269,2025-05-14,Operations,Procurement,Procurement related to Operations,Expense,1218.06,USD,Completed
TXN-889076,14/07/2025,Procurement,Product Sales,Product Sales related to Procurement,Revenue,68418.04,GBP,Completed
TXN-439485,2023-12-14,Operations,Office,Office related to Operations,Expense,43596.66,GBP,Completed
TXN-550623,2023-12-20,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,28382.41,GBP,Completed
TXN-149298,01/03/2025,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,55137.16,USD,Completed
TXN-504069,2024-08-19,Finance,Service Revenue,Service Revenue related to Finance,Revenue,"$6,219.29",USD,Completed
TXN-335417,2025-01-08,Sales,Maintenance,Maintenance related to Sales,Expense,15953.83,GBP,Completed
TXN-359123,2024-02-02,Operations,Utilities,Utilities related to Operations,Expense,8444.28,EUR,Completed
TXN-120709,2024-07-16,IT,Marketing,Marketing related to IT,Expense,13754.16,USD,Completed
TXN-740802,25/11/2023,HR,Service Revenue,Service Revenue related to HR,Revenue,123191.89,USD,Completed
TXN-126749,2025-04-30,Finance,Product Sales,Product Sales related to Finance,Revenue,9761.41,USD,Completed
TXN-614205,2023-06-14,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,36204.62,USD,Completed
TXN-212853,2025-05-16,Finance,Office,Office related to Finance,Expense,3375.27,USD,Completed
TXN-850487,2024-01-25,Administration,Consulting Revenue,Consulting Revenue related to Administration,Revenue,19433.93,USD,Completed
TXN-331988,12/07/2025,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,135951.89,GBP,Completed
TXN-581085,28/05/2025,Finance,Training,Training related to Finance,Expense,45837.94,GBP,Completed
TXN-150322,2023-09-10,Finance,Procurement,Procurement related to Finance,Expense,34302.18,USD,Completed
TXN-130043,20/01/2023,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,15582.68,USD,Completed
TXN-510884,23/01/2024,Procurement,Salaries,Salaries related to Procurement,Expense,41447.95,USD,Completed
TXN-514305,2023-03-10,Logistics,Utilities,Utilities related to Logistics,Expense,30229.13,USD,Completed
TXN-298992,2024-10-01,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,226975.72,EUR,Completed
TXN-298992,2024-10-01,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,226975.72,EUR,Completed
TXN-521798,01/12/2025,Procurement,Logistics,Logistics related to Procurement,Expense,9536.72,USD,Completed
TXN-141973,2024-07-31,Procurement,Service Revenue,Service Revenue related to Procurement,Revenue,88841.73,USD,Completed
TXN-441968,2023-11-16,Finance,Logistics,Logistics related to Finance,Expense,47357.59,USD,Completed
TXN-827877,2024-06-18,R&D,Utilities,Utilities related to R&D,Expense,303802.55,USD,Completed
TXN-842218,2025-07-29,Marketing,Marketing,Marketing related to Marketing,Expense,10807.66,EUR,Completed
TXN-646677,2024-06-08,Logistics,Consulting Revenue,Consulting Revenue related to Logistics,Revenue,101326.49,USD,Completed
TXN-869101,2023-01-17,Finance,Maintenance,Maintenance related to Finance,Expense,17281.42,USD,Completed
TXN-946604,29/01/2025,Finance,Other Revenue,Other Revenue related to Finance,Revenue,19197.45,EUR,Completed
TXN-721461,2025-01-08,Finance,Professional Services,Professional Services related to Finance,Expense,25980.50,USD,Completed
TXN-790340,03/04/2024,Administration,Software,Software related to Administration,Expense,177544.66,EUR,Completed
TXN-432770,2025-05-31,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,147684.42,USD,Completed
TXN-118595,2023-12-29,Sales,Training,Training related to Sales,Expense,38662.12,USD,Completed
TXN-717871,2024-01-11,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,44577.53,USD,Completed
TXN-168411,14/12/2023,Operations,Office,Office related to Operations,Expense,29891.50,EUR,Completed
TXN-765714,2024-04-09,Marketing,Procurement,Procurement related to Marketing,Expense,13733.12,USD,Completed
TXN-498488,2025-10-15,Finance,Maintenance,Maintenance related to Finance,Expense,2665.53,USD,Completed
TXN-293568,2023-11-30,Sales,Salaries,Salaries related to Sales,Expense,35262.95,GBP,Completed
TXN-725228,2025-05-19,Sales,Maintenance,Maintenance related to Sales,Expense,20327.86,USD,Completed
TXN-778369,25/02/2025,R&D,Service Revenue,Service Revenue related to R&D,Revenue,42417.40,GBP,Completed
TXN-405131,2024-02-02,Customer Support,Logistics,Logistics related to Customer Support,Expense,"$4,070.95",USD,Completed
TXN-604971,2023-02-12,Administration,Product Sales,Product Sales related to Administration,Revenue,90338.80,USD,Completed
TXN-637412,2025-11-12,Legal,Service Revenue,Service Revenue related to Legal,Revenue,217843.12,USD,Completed
TXN-334667,2024-04-19,Operations,Procurement,Procurement related to Operations,Expense,19432.62,USD,Completed
TXN-346858,23/11/2024,IT,Travel,Travel related to IT,Expense,30740.26,USD,Completed
TXN-892390,2023-06-12,Logistics,Software,Software related to Logistics,Expense,46717.15,USD,Completed
TXN-764554,2025-05-16,IT,Professional Services,Professional Services related to IT,Expense,9396.56,USD,Completed
TXN-725944,2023-04-10,Operations,Subscription Revenue,Subscription Revenue related to Operations,Revenue,"$26,424.21",USD,Completed
TXN-709250,2023-06-19,Sales,Office,Office related to Sales,Expense,31810.87,USD,Completed
TXN-366862,2025-12-17,Legal,Maintenance,Maintenance related to Legal,Expense,14246.37,GBP,Completed
TXN-822849,2023-05-02,Sales,Logistics,Logistics related to Sales,Expense,25277.42,USD,Completed
TXN-317137,2023-03-22,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,"$52,875.50",USD,Completed
TXN-133911,2023-06-03,Administration,Office,Office related to Administration,Expense,26604.38,USD,Completed
TXN-310462,2023-10-16,Administration,Product Sales,Product Sales related to Administration,Revenue,197269.84,USD,Completed
TXN-169157,2025-06-30,R&D,Marketing,Marketing related to R&D,Expense,28209.39,USD,Completed
TXN-260841,2025-11-07,IT,Subscription Revenue,Subscription Revenue related to IT,Revenue,112453.06,EUR,Completed
TXN-387047,11/05/2024,Customer Support,Cloud Infrastructure,Cloud Infrastructure related to Customer Support,Expense,33070.67,USD,Completed
TXN-930157,2023-12-22,Procurement,Salaries,Salaries related to Procurement,Expense,"$22,305.52",USD,Completed
TXN-415482,2023-06-24,Administration,Procurement,Procurement related to Administration,Expense,28664.06,USD,Completed
TXN-773031,2024-11-11,Logistics,Maintenance,Maintenance related to Logistics,Expense,"$14,829.57",USD,Completed
TXN-870668,2023-02-15,IT,Procurement,Procurement related to IT,Expense,44718.76,EUR,Completed
TXN-330521,2023-06-19,Procurement,Logistics,Logistics related to Procurement,Expense,48596.77,EUR,Completed
TXN-662401,2023-03-07,Operations,Service Revenue,Service Revenue related to Operations,Revenue,58058.48,USD,Completed
TXN-737760,2023-10-24,Legal,Office,Office related to Legal,Expense,"$7,820.63",USD,Completed
TXN-410665,02/06/2023,R&D,Subscription Revenue,Subscription Revenue related to R&D,Revenue,144657.94,EUR,Completed
TXN-885148,2024-01-23,R&D,Salaries,Salaries related to R&D,Expense,5183.44,USD,Completed
TXN-810669,23/02/2025,IT,Consulting Revenue,Consulting Revenue related to IT,Revenue,37740.30,USD,Completed
TXN-219858,2025-07-21,Operations,Software,Software related to Operations,Expense,10132.81,EUR,Completed
TXN-933469,2024-12-19,Sales,Consulting Revenue,Consulting Revenue related to Sales,Revenue,25363.62,GBP,Completed
TXN-635240,2024-12-05,Sales,Procurement,Procurement related to Sales,Expense,45851.97,USD,Completed
TXN-199259,2023-08-31,Administration,Other Revenue,Other Revenue related to Administration,Revenue,"$71,975.51",USD,Completed
TXN-913442,2025-08-26,Logistics,Maintenance,Maintenance related to Logistics,Expense,38119.91,USD,Completed
TXN-588751,05/09/2023,Marketing,Marketing,Marketing related to Marketing,Expense,18071.17,USD,Completed
TXN-403801,2024-10-11,Administration,Marketing,Marketing related to Administration,Expense,213245.95,USD,Completed
TXN-167251,16/05/2024,Administration,Salaries,Salaries related to Administration,Expense,48756.22,EUR,Completed
TXN-979623,2023-11-26,Customer Support,Marketing,Marketing related to Customer Support,Expense,"$27,049.72",USD,Completed
TXN-806690,2023-01-19,Customer Support,Subscription Revenue,Subscription Revenue related to Customer Support,Revenue,20028.99,USD,Completed
TXN-301689,19/02/2025,Finance,Logistics,Logistics related to Finance,Expense,24131.94,GBP,Completed
TXN-401486,2025-10-08,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,260697.60,USD,Completed
TXN-824440,08/12/2023,Finance,Maintenance,Maintenance related to Finance,Expense,"$27,958.48",USD,Completed
TXN-832814,01/10/2023,Logistics,Office,Office related to Logistics,Expense,34063.00,USD,Completed
TXN-385027,2024-03-31,Procurement,Procurement,Procurement related to Procurement,Expense,46427.01,EUR,Completed
TXN-976443,02/10/2025,IT,Service Revenue,Service Revenue related to IT,Revenue,134135.61,USD,Completed
TXN-712639,17/01/2025,Finance,Service Revenue,Service Revenue related to Finance,Revenue,27786.75,GBP,Completed
TXN-890474,2023-03-25,Legal,Product Sales,Product Sales related to Legal,Revenue,117560.60,USD,Completed
TXN-888501,2024-03-03,Logistics,Subscription Revenue,Subscription Revenue related to Logistics,Revenue,115105.30,USD,Completed
TXN-747135,2024-12-12,R&D,Training,Training related to R&D,Expense,9987.76,USD,Completed
TXN-819220,2024-03-31,R&D,Marketing,Marketing related to R&D,Expense,2716.71,EUR,Completed
TXN-718148,2024-12-25,Administration,Subscription Revenue,Subscription Revenue related to Administration,Revenue,60718.36,USD,Completed
TXN-589570,09/01/2023,Sales,Travel,Travel related to Sales,Expense,7398.42,USD,Completed
TXN-368903,2023-11-17,Legal,Logistics,Logistics related to Legal,Expense,46262.02,USD,Completed
TXN-249612,2024-10-27,Finance,Logistics,Logistics related to Finance,Expense,46348.40,GBP,Completed
TXN-873604,28/11/2023,IT,Office,Office related to IT,Expense,23716.30,USD,Completed
TXN-368570,06/10/2025,Procurement,Product Sales,Product Sales related to Procurement,Revenue,111641.88,EUR,Completed
TXN-645731,2024-05-31,Finance,Office,Office related to Finance,Expense,31605.01,EUR,Completed
TXN-510466,2024-08-28,Finance,Product Sales,Product Sales related to Finance,Revenue,932434.43,USD,Completed
TXN-501265,2025-03-21,HR,Marketing,Marketing related to HR,Expense,43410.91,USD,Completed
TXN-855397,2025-08-06,Administration,Product Sales,Product Sales related to Administration,Revenue,78441.11,USD,Completed
TXN-412591,2025-09-17,Marketing,Product Sales,Product Sales related to Marketing,Revenue,96587.49,USD,Completed
TXN-748683,29/10/2025,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,55036.27,USD,Completed
TXN-142279,2024-04-15,Logistics,Procurement,Procurement related to Logistics,Expense,20472.43,USD,Completed
TXN-372838,2023-07-08,Marketing,Office,Office related to Marketing,Expense,25791.34,USD,Completed
TXN-350193,2025-03-31,HR,Travel,Travel related to HR,Expense,2253.99,USD,Completed
TXN-592456,14/01/2024,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,13738.48,EUR,Completed
TXN-379265,2025-06-22,Finance,Procurement,Procurement related to Finance,Expense,"$35,796.66",USD,Completed
TXN-213279,2023-12-09,Sales,Procurement,Procurement related to Sales,Expense,7642.12,USD,Completed
TXN-301844,2024-10-15,Marketing,Other Revenue,Other Revenue related to Marketing,Revenue,144911.32,USD,Completed
TXN-621081,2023-06-24,Logistics,Software,Software related to Logistics,Expense,34666.05,USD,Completed
TXN-772440,01/06/2024,IT,Other Revenue,Other Revenue related to IT,Revenue,61963.00,USD,Completed
TXN-983896,25/04/2023,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,8162.83,USD,Completed
TXN-733741,2024-05-28,Sales,Utilities,Utilities related to Sales,Expense,252280.48,USD,Completed
TXN-457342,2024-10-27,Administration,Utilities,Utilities related to Administration,Expense,39123.97,USD,Completed
TXN-110650,2024-06-14,Operations,Service Revenue,Service Revenue related to Operations,Revenue,71978.06,USD,Completed
TXN-515387,2023-03-18,IT,Utilities,Utilities related to IT,Expense,39657.09,USD,Completed
TXN-761102,29/11/2025,IT,Salaries,Salaries related to IT,Expense,164477.45,USD,Completed
TXN-368533,2023-10-19,IT,Salaries,Salaries related to IT,Expense,49178.81,USD,Completed
TXN-783873,2023-04-23,Sales,Procurement,Procurement related to Sales,Expense,38355.30,USD,Completed
TXN-764628,2023-03-16,Sales,Salaries,Salaries related to Sales,Expense,3717.85,GBP,Completed
TXN-582071,2024-07-15,IT,Cloud Infrastructure,Cloud Infrastructure related to IT,Expense,33758.56,USD,Completed
TXN-793554,2025-10-02,Legal,Maintenance,Maintenance related to Legal,Expense,11261.96,GBP,Completed
TXN-144749,2025-04-12,Administration,Procurement,Procurement related to Administration,Expense,"$28,562.25",USD,Completed
TXN-446782,2025-06-12,Administration,Subscription Revenue,Subscription Revenue related to Administration,Revenue,74900.98,USD,Completed
TXN-174699,2023-02-17,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,38799.73,EUR,Completed
TXN-172096,2025-03-27,Procurement,Cloud Infrastructure,Cloud Infrastructure related to Procurement,Expense,5785.42,USD,Completed
TXN-846167,2023-08-16,Procurement,Procurement,Procurement related to Procurement,Expense,38200.00,EUR,Completed
TXN-579556,2024-02-09,Logistics,Product Sales,Product Sales related to Logistics,Revenue,29740.83,USD,Completed
TXN-351227,2023-12-11,IT,Product Sales,Product Sales related to IT,Revenue,"$26,102.29",USD,Completed
TXN-945485,2024-02-04,Procurement,Professional Services,Professional Services related to Procurement,Expense,26471.79,USD,Completed
TXN-971504,2023-06-02,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,"$96,719.06",USD,Completed
TXN-168597,2024-01-23,IT,Office,Office related to IT,Expense,1199.62,GBP,Completed
TXN-368479,2023-04-06,Procurement,Subscription Revenue,Subscription Revenue related to Procurement,Revenue,87554.83,USD,Completed
TXN-497097,2025-02-11,HR,Product Sales,Product Sales related to HR,Revenue,75613.61,USD,Completed
TXN-415335,2024-04-16,HR,Consulting Revenue,Consulting Revenue related to HR,Revenue,"$70,749.10",USD,Completed
TXN-796089,2025-11-09,Legal,Maintenance,Maintenance related to Legal,Expense,2853.45,GBP,Completed
TXN-514906,02/08/2023,Sales,Other Revenue,Other Revenue related to Sales,Revenue,107887.99,USD,Completed
